Номер теста;Дисциплина;Лабораторная работа;Параметр варьирования 1;Необходимость сохранения значения параметра 1 для одинакового варианта;Параметр варьирования 2;Необходимость сохранения значения параметра 2 для одинакового варианта
13;Компьютерные сети;1;1;нет;6;нет
14;Компьютерные сети;2;1;нет;6;нет
15;Компьютерные сети;3;1;нет;6;нет
16;Компьютерные сети;4;1;нет;6;нет
17;Компьютерные сети;5;1;нет;6;нет
18;Компьютерные сети;6;1;нет;6;нет
19;Компьютерные сети;1;1;да;6;нет
20;Компьютерные сети;2;1;да;6;нет
21;Компьютерные сети;3;1;да;6;нет
22;Компьютерные сети;4;1;да;6;нет
23;Компьютерные сети;5;1;да;6;нет
24;Компьютерные сети;6;1;да;6;нет
25;Компьютерные сети;1;1;нет;6;да
26;Компьютерные сети;2;1;нет;6;да
27;Компьютерные сети;3;1;нет;6;да
28;Компьютерные сети;4;1;нет;6;да
29;Компьютерные сети;5;1;нет;6;да
30;Компьютерные сети;6;1;нет;6;да
31;Компьютерные сети;1;1;да;6;да
32;Компьютерные сети;2;1;да;6;да
33;Компьютерные сети;3;1;да;6;да
34;Компьютерные сети;4;1;да;6;да
35;Компьютерные сети;5;1;да;6;да
36;Компьютерные сети;6;1;да;6;да
