Номер теста;Дисциплина;Лабораторная работа;Параметр варьирования 1;Необходимость сохранения значения параметра 1 для одинакового варианта;Параметр варьирования 2;Необходимость сохранения значения параметра 2 для одинакового варианта
1;Компьютерные сети;1;1;нет;;
2;Компьютерные сети;2;1;нет;;
3;Компьютерные сети;3;1;нет;;
4;Компьютерные сети;1;1;да;;
5;Компьютерные сети;2;1;да;;
6;Компьютерные сети;3;1;да;;
7;Компьютерные сети;1;6;нет;;
8;Компьютерные сети;2;6;нет;;
9;Компьютерные сети;3;6;нет;;
10;Компьютерные сети;1;6;да;;
11;Компьютерные сети;2;6;да;;
12;Компьютерные сети;3;6;да;;
